trial,algorithm,size,bend,colour,distance,length,width,run,coverage,MSE,replacements,less_than_20s,variation
7,HI,I1000,100,H10A10B,10,0,0,8,12176,5.809762731481482,474,15,control
7,HI,I1000,100,H10A10B,10,0,0,9,4790,2.4023032407407405,368,16,control
7,HI,I1000,100,H10A10B,10,0,0,0,8256,3.7472222222222222,588,13,control
8,HI,I1000,100,10A10B,10,0,1000,1,8882,3.9297222222222223,560,15,1000W
8,HI,I1000,100,10A10B,10,0,1000,2,8187,3.851284722222222,625,12,1000W
8,HI,I1000,100,10A10B,10,0,1000,3,5850,2.30171875,522,17,1000W
8,HI,I1000,100,10A10B,10,0,1000,4,4892,2.3521585648148147,441,19,1000W
8,HI,I1000,100,10A10B,10,0,100,5,7920,3.6073958333333334,506,14,1000W
8,HI,I1000,100,10A10B,10,0,1000,6,7642,3.3681134259259258,596,19,1000W
8,HI,I1000,100,10A10B,10,0,1000,7,8079,3.6360127314814816,494,13,1000W
8,HI,I1000,100,10A10B,10,0,1000,8,8089,3.7980555555555555,591,17,1000W
8,HI,I1000,100,10A10B,10,0,1000,9,7046,2.814386574074074,574,14,1000W
8,HI,I1000,100,10A10B,10,0,1000,0,9237,4.507123842592593,438,14,1000W
9,HI,I1000,100,10A10B,10,100,1000,1,5946,2.9916898148148148,470,13,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,2,7367,3.238755787037037,499,17,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,3,4446,1.9608275462962963,496,15,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,4,6669,3.331984953703704,467,17,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,5,5462,2.5410358796296295,468,21,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,6,4102,1.9685590277777778,435,15,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,7,6962,3.011278935185185,475,18,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,8,4337,1.9500694444444444,507,23,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,9,8005,3.6689872685185185,499,19,100L1000W
9,HI,I1000,100,10A10B,10,100,1000,0,3352,1.6837847222222222,448,17,100L1000W
10,HI,I1000,100,H10A,10,0,0,1,2846,1.2810243055555555,531,21,10A
10,HI,I1000,100,H10A,10,0,0,2,4309,2.051811342592593,475,18,10A
10,HI,I1000,100,H10A,10,0,0,3,3840,1.708761574074074,503,23,10A
10,HI,I1000,100,H10A,10,0,0,4,4473,1.9972974537037036,557,20,10A
10,HI,I1000,100,H10A,10,0,0,5,4939,1.9648090277777779,547,20,10A
10,HI,I1000,100,H10A,10,0,0,6,3698,1.6713599537037036,454,16,10A
10,HI,I1000,100,H10A,10,0,0,7,4775,2.4120138888888887,483,18,10A
10,HI,I1000,100,H10A,10,0,0,8,2996,1.5855613425925925,445,20,10A
10,HI,I1000,100,H10A,10,0,0,9,5052,2.1193229166666665,448,16,10A
10,HI,I1000,100,H10A,10,0,0,0,5667,2.9362962962962964,505,17,10A
11,I,I1000,100,10A10B,10,0,0,1,6025,2.8283506944444445,578,15,control
11,I,I1000,100,10A10B,10,0,0,2,6503,3.101440972222222,617,14,control
11,I,I1000,100,10A10B,10,0,0,3,6792,2.9793287037037035,495,13,control
11,I,I1000,100,10A10B,10,0,0,4,6536,2.813946759259259,472,19,control
11,I,I1000,100,10A10B,10,0,0,5,6012,2.659565972222222,533,11,control
11,I,I1000,100,10A10B,10,0,0,6,5380,2.5455266203703704,604,12,control
11,I,I1000,100,10A10B,10,0,0,7,9103,3.8630671296296297,594,14,control
11,I,I1000,100,10A10B,10,0,0,8,4765,1.9278125,587,15,control
11,I,I1000,100,10A10B,10,0,0,9,6867,2.795353009259259,668,14,control
11,I,I1000,100,10A10B,10,0,0,0,9650,4.091006944444445,630,14,control
12,I,I10000,100,10A10B,10,0,0,1,7360,3.492650462962963,549,9,10000S
12,I,I10000,100,10A10B,10,0,0,2,6960,2.9776273148148147,663,6,10000S
12,I,I10000,100,10A10B,10,0,0,3,7581,3.932673611111111,556,9,10000S
12,I,I10000,100,10A10B,10,0,0,4,8821,4.013657407407408,755,4,10000S
12,I,I10000,100,10A10B,10,0,0,5,9056,3.9990972222222223,593,3,10000S
12,I,I10000,100,10A10B,10,0,0,6,6675,3.1537094907407406,634,6,10000S
12,I,I10000,100,10A10B,10,0,0,7,7287,3.2382928240740743,578,8,10000S
12,I,I10000,100,10A10B,10,0,0,8,8399,3.594068287037037,575,5,10000S
12,I,I10000,100,10A10B,10,0,0,9,10078,4.156348379629629,630,5,10000S
